feature,importance
manager_score,3.8985686182559913
engagement_score,3.326970776018781
year,1.725508165782335
months_since_promotion,1.623500040718156
absenteeism,1.4068045215930391
performance_rating,1.2744992461864517
overtime_hours,0.9789448192846534
engagement_activity,0.3323469082475264
training_hours,0.19878691556790123
f2f_learning,0.19874249755440393
online_learning,0.13084805212221545
role_level,0.12269053371335822
gender,0.1223614826717526
department,0.060407651495954645
tenure,0.030709444841217997
age,0.004387261750398968
salary_band,0.003913366232546704
